Date,Open,High,Low,Close,Change %,Volume
"Dec. 14, 2020",47.93,50.86,47.70,49.84,+5.10,"1,829,020"
"Dec. 11, 2020",46.26,48.03,46.26,47.42,+1.78,"1,486,540"
"Dec. 10, 2020",46.21,47.11,45.30,46.59,+0.28,"2,775,572"
"Dec. 09, 2020",48.26,48.95,46.24,46.46,-3.79,"2,675,575"
"Dec. 08, 2020",47.38,48.67,46.52,48.29,+1.90,"1,390,255"
"Dec. 07, 2020",48.02,48.56,47.02,47.39,-1.62,"515,713"
"Dec. 04, 2020",48.22,48.74,48.00,48.17,+0.67,"742,104"
"Dec. 03, 2020",48.92,49.08,47.76,47.85,-0.25,"1,282,893"
"Dec. 02, 2020",47.83,48.95,47.79,47.97,-0.97,"762,366"
"Dec. 01, 2020",48.24,49.75,47.38,48.44,+2.28,"1,769,124"
"Nov. 30, 2020",47.99,48.14,46.14,47.36,-0.67,"1,500,096"
"Nov. 27, 2020",48.18,48.62,47.27,47.68,-0.96,"946,377"
"Nov. 25, 2020",47.16,48.92,46.94,48.14,+3.26,"1,920,826"
"Nov. 24, 2020",44.60,46.86,43.74,46.62,+5.95,"2,413,154"
"Nov. 23, 2020",42.99,44.22,42.39,44.00,+3.36,"1,609,857"
"Nov. 20, 2020",44.02,44.02,42.20,42.57,-3.12,"2,445,761"
"Nov. 19, 2020",43.99,45.09,42.22,43.94,0.00,"4,600,347"
"Nov. 18, 2020",45.19,45.51,43.80,43.94,-2.87,"2,374,611"
"Nov. 17, 2020",43.79,45.49,43.79,45.24,+2.31,"2,579,766"
"Nov. 16, 2020",44.09,44.81,43.60,44.22,+1.33,"1,486,731"
"Nov. 13, 2020",43.69,44.09,42.97,43.64,+0.62,"906,565"
"Nov. 12, 2020",44.08,44.90,42.70,43.37,-2.06,"1,199,066"
"Nov. 11, 2020",44.29,45.31,43.90,44.28,+1.07,"1,445,061"
"Nov. 10, 2020",43.32,44.02,41.12,43.81,+0.48,"2,954,382"
"Nov. 09, 2020",45.16,45.51,43.16,43.60,-1.40,"2,912,651"
"Nov. 06, 2020",43.88,44.72,43.04,44.22,+1.35,"1,222,442"
"Nov. 05, 2020",42.13,43.73,41.72,43.63,+6.83,"1,366,189"
"Nov. 04, 2020",39.44,41.72,39.44,40.84,+5.80,"1,834,296"
"Nov. 03, 2020",37.95,39.47,37.50,38.60,+2.96,"1,777,527"
"Nov. 02, 2020",37.17,37.88,36.67,37.49,+2.40,"2,225,277"
"Oct. 30, 2020",36.86,38.25,35.58,36.61,-2.03,"2,262,839"
"Oct. 29, 2020",36.72,37.98,36.54,37.37,+2.33,"990,024"
"Oct. 28, 2020",37.89,38.02,36.42,36.52,-5.90,"1,164,136"
"Oct. 27, 2020",39.21,39.64,38.57,38.81,-0.08,"699,377"
"Oct. 26, 2020",39.81,40.10,37.63,38.84,-4.05,"1,470,115"
"Oct. 23, 2020",39.57,40.59,38.81,40.48,+2.87,"1,408,429"
"Oct. 22, 2020",40.63,41.66,39.33,39.35,-2.70,"1,201,469"
"Oct. 21, 2020",39.48,40.86,39.05,40.44,+3.08,"1,129,737"
"Oct. 20, 2020",38.87,39.77,38.44,39.23,+1.26,"1,528,388"
"Oct. 19, 2020",39.79,40.52,38.65,38.74,-1.82,"688,738"
